,clid,hhid,qb01,qb02,qb03,qb04,qb05,qb06,qb07_1,qb07_2,qb07_3,qb07_4,qb07_5,qb07_6,qb08_1,qb08_2,qb08_3,qb08_4,qb08_5,qb08_6
20,13.0,5.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
21,13.0,5.0,107,Tenants vs. Landlords,Yes,None,,,,,,,,,,,,,,
22,13.0,5.0,112,Religious/Witchcraft offenses,Yes,None,,,,,,,,,,,,,,
23,13.0,5.0,113,Political disagreements/electi,Yes,None,,,,,,,,,,,,,,
24,13.0,6.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
25,13.0,6.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
26,13.0,6.0,106,Natural resources (communal gr,Yes,None,,,,,,,,,,,,,,
27,13.0,6.0,107,Tenants vs. Landlords,Yes,None,,,,,,,,,,,,,,
28,13.0,6.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
29,13.0,6.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
30,13.0,6.0,113,Political disagreements/electi,Yes,None,,,,,,,,,,,,,,
31,13.0,8.0,105,"Criminal matters (murder,sexua",Yes,None,,,,,,,,,,,,,,
32,14.0,6.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Most comfortable with this person,"No, they could not help us with the dispute",D,Chief/Assistant Chief,600.0,,0.0,,,0.0,,,0.0,
33,14.0,6.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, they could not help us with the dispute",D,Chief/Assistant Chief,600.0,,0.0,,,0.0,,,0.0,
34,16.0,9.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Party has community/family respect,"No, the matter is still pending",B,Extended Family Members (Outside The Household),10000.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,0.0
35,19.0,1.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
36,19.0,3.0,109,"Domestic violence (sexual, phy",Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
37,19.0,4.0,111,Traffic matters,Yes,None,,,,,,,,,,,,,,
38,19.0,7.0,104,Succession and inheritance (in,Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,100000.0,,0.0,0.0,J,Lawyer,20000.0,,0.0,0.0
39,21.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,,X,Other (Specify),0.0,,0.0,
40,22.0,5.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
41,24.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Traditional leader/elder,Party has community/family respect,"No, the matter is still pending",G,Traditional Leader/Elder,200.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
42,24.0,3.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,5000.0,M,Courts,0.0,H,Police,5000.0,C,Traditional Leader/Elder,400.0
43,24.0,3.0,112,Religious/Witchcraft offenses,Yes,None,,,,,,,,,,,,,,
44,26.0,7.0,110,Labour (employee/employer disp,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
45,27.0,1.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",L,Police,500.0,P,None,0.0,X,Other (Specify),0.0,,0.0,
46,27.0,2.0,109,"Domestic violence (sexual, phy",Yes,Other (specify),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,,A,Directly To The Other Party,2000.0,,0.0,
47,27.0,6.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Party has community/family respect,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,X,Other (Specify),0.0,,0.0,
48,27.0,6.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Would cause least disruption to life,"No, they could not help us with the dispute",P,None,0.0,,0.0,0.0,X,Other (Specify),0.0,,0.0,
49,27.0,7.0,108,Disputes over personal propert,Yes,Directly to the other party,Would cause least disruption to life,"No, the matter is still pending",P,None,0.0,,0.0,0.0,,0.0,,,0.0,
50,28.0,5.0,101,"Land (squatters, allocation, t",Yes,NGO/CBO,Party has technical skill,"No, the matter is still pending",J,Ngo/Cbo,2400.0,P,None,0.0,,0.0,,,0.0,
51,28.0,9.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Party has the power/authority,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
52,28.0,10.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
53,30.0,6.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,,0.0,,B,Extended Family Member,0.0,,0.0,
54,30.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",D,Chief/Assistant Chief,200.0,,0.0,,A,Directly To The Other Party,0.0,C,Traditional Leader/Elder,0.0
55,32.0,6.0,103,Family matters (divorce; pater,Yes,Other (specify),Party has technical skill,"Yes, and the matter is resolved",X,Other (Specify),0.0,,0.0,0.0,X,Other (Specify),0.0,,0.0,0.0
56,34.0,2.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has technical skill,"No, the matter is still pending",K,Lawyer,60000.0,B,Extended Family Members (Outside The Household),10000.0,B,Extended Family Member,5000.0,,0.0,0.0
57,39.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Proximity/location,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
58,39.0,5.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,700.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
59,39.0,7.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Proximity/location,"No, they could not help us with the dispute",A,Directly To The Other Party,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
60,39.0,8.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Proximity/location,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
61,39.0,9.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
62,43.0,2.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has community/family respect,"No, the matter is still pending",L,Police,0.0,P,None,,H,Police,8000.0,,0.0,
63,43.0,7.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,P,None,,D,National Government,1500.0,,0.0,
64,44.0,2.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,,B,Extended Family Member,500.0,,0.0,
65,44.0,8.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
66,44.0,8.0,107,Tenants vs. Landlords,Yes,None,,,,,,,,,,,,,,
67,45.0,5.0,103,Family matters (divorce; pater,Yes,Police,Cost,"Yes, and the matter is resolved",L,Police,1200.0,,0.0,,H,Police,1000.0,,0.0,
68,46.0,4.0,101,"Land (squatters, allocation, t",Yes,Directly to the other party,Party has the power/authority,"No, the matter is still pending",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,0.0
69,47.0,9.0,103,Family matters (divorce; pater,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,,0.0,,,0.0,,,0.0,
70,48.0,9.0,101,"Land (squatters, allocation, t",Yes,National government official,Most comfortable with this person,"Yes, and the matter is resolved",F,County Government Official,2000.0,,0.0,,E,County Government,15000.0,,0.0,
71,50.0,5.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has community/family respect,"No, the matter is still pending",M,Courts,0.0,K,Lawyer,120000.0,,0.0,,,0.0,
72,51.0,1.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,1500.0,,0.0,,,0.0,,,0.0,
73,51.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",G,Traditional Leader/Elder,200.0,D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0
74,52.0,3.0,104,Succession and inheritance (in,Yes,County government official,Party has technical skill,"No, the matter is still pending",P,None,0.0,,0.0,,,0.0,,,0.0,
75,52.0,5.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",P,None,,,0.0,,D,National Government,0.0,,0.0,
76,52.0,7.0,111,Traffic matters,Yes,National government official,Cost,"Yes, and the matter is resolved",E,Other National Government Official,5000.0,,0.0,,D,National Government,0.0,,0.0,
77,53.0,3.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,H,Police,1000.0,,0.0,
78,54.0,4.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
79,54.0,8.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has technical skill,"No, the matter is still pending",M,Courts,7000.0,,0.0,,X,Other (Specify),,,0.0,
80,54.0,9.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,1000.0,,0.0,,X,Other (Specify),,,0.0,
81,55.0,4.0,114,Corruption/bribery,Yes,None,,,,,,,,,,,,,,
82,55.0,5.0,111,Traffic matters,Yes,Directly to the other party,Party has technical skill,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,A,Directly To The Other Party,0.0,,0.0,
83,56.0,1.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"No, they could not help us with the dispute",L,Police,1000.0,P,None,0.0,H,Police,2500.0,,0.0,0.0
84,56.0,2.0,105,"Criminal matters (murder,sexua",Yes,Traditional leader/elder,Party has the power/authority,"No, they could not help us with the dispute",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
85,56.0,5.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has the power/authority,"No, they could not help us with the dispute",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
86,56.0,8.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Would cause least disruption to life,"No, they could not help us with the dispute",D,Chief/Assistant Chief,1500.0,L,Police,500.0,H,Police,1000.0,C,Traditional Leader/Elder,500.0
87,57.0,3.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,,,0.0,
88,58.0,2.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,1000.0,P,None,,X,Other (Specify),0.0,,0.0,
89,59.0,3.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
90,59.0,8.0,106,Natural resources (communal gr,Yes,Traditional leader/elder,Would cause least disruption to life,"Yes, and the matter is resolved",G,Traditional Leader/Elder,5000.0,,0.0,0.0,H,Police,0.0,,0.0,0.0
91,59.0,8.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
92,60.0,3.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Most comfortable with this person,"No, they could not help us with the dispute",G,Traditional Leader/Elder,500.0,P,None,0.0,H,Police,1000.0,,0.0,0.0
93,60.0,3.0,109,"Domestic violence (sexual, phy",Yes,Traditional leader/elder,Most comfortable with this person,"No, they could not help us with the dispute",G,Traditional Leader/Elder,200.0,P,None,0.0,,0.0,0.0,,0.0,0.0
94,60.0,4.0,102,"Commercial (unpaid debts, unde",Yes,County government official,Party has the power/authority,"No, they could not help us with the dispute",P,None,,,0.0,,H,Police,1000.0,,0.0,
95,60.0,4.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"No, they could not help us with the dispute",P,None,,,0.0,,H,Police,2000.0,,0.0,
96,60.0,6.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"No, they could not help us with the dispute",L,Police,1000.0,,0.0,,H,Police,1000.0,,0.0,
97,60.0,7.0,107,Tenants vs. Landlords,Yes,Chief/ Assistant Chief,Tradition,"No, the matter is still pending",P,None,,,0.0,,C,Traditional Leader/Elder,500.0,,0.0,
98,60.0,7.0,110,Labour (employee/employer disp,Yes,Courts,Party has technical skill,"No, they could not help us with the dispute",P,None,,,0.0,,C,Traditional Leader/Elder,1000.0,,0.0,
99,61.0,2.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
100,61.0,3.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
101,61.0,3.0,112,Religious/Witchcraft offenses,Yes,None,,,,,,,,,,,,,,
102,61.0,4.0,114,Corruption/bribery,Yes,None,,,,,,,,,,,,,,
103,61.0,10.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",X,Other (Specify),2500.0,,0.0,,X,Other (Specify),3000.0,,0.0,
104,61.0,10.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Would cause least disruption to life,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),3000.0,,0.0,,,0.0,,,0.0,
105,62.0,3.0,103,Family matters (divorce; pater,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
106,62.0,4.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Party has the power/authority,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
107,62.0,5.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Cost,"No, they decided not to rule on the matter",P,None,,,0.0,,,0.0,,,0.0,
108,65.0,1.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,D,National Government,700.0,,0.0,
109,65.0,5.0,101,"Land (squatters, allocation, t",Yes,Lawyer,Party has the power/authority,"No, the matter is still pending",K,Lawyer,20000.0,,0.0,,D,National Government,25000.0,,0.0,
110,66.0,1.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
111,66.0,3.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",P,None,0.0,,0.0,,X,Other (Specify),,,0.0,
112,71.0,3.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,P,None,0.0,D,National Government,0.0,,0.0,
113,73.0,5.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has technical skill,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
114,74.0,2.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
115,74.0,7.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
116,75.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
117,75.0,3.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
118,75.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
119,75.0,3.0,103,Family matters (divorce; pater,Yes,Courts,Party has technical skill,"Yes, and the matter is resolved",M,Courts,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
120,75.0,3.0,104,Succession and inheritance (in,Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,37000.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
121,75.0,3.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
122,75.0,4.0,105,"Criminal matters (murder,sexua",Yes,National government official,Party has technical skill,"No, they could not help us with the dispute",L,Police,0.0,P,None,,H,Police,0.0,,0.0,
123,75.0,8.0,110,Labour (employee/employer disp,Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,100.0,,0.0,,,0.0,0.0,,0.0,0.0
124,81.0,1.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",D,Chief/Assistant Chief,2000.0,,0.0,,H,Police,9000.0,,0.0,
125,82.0,5.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,500.0,,0.0,,,0.0,,,0.0,
126,83.0,3.0,107,Tenants vs. Landlords,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,200.0,X,Other (Specify),0.0
127,84.0,4.0,110,Labour (employee/employer disp,Yes,Police,Party has the power/authority,"No, they could not help us with the dispute",L,Police,100.0,P,None,0.0,H,Police,0.0,,0.0,
128,84.0,5.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,
129,85.0,6.0,108,Disputes over personal propert,Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,7800.0,,0.0,,D,National Government,2000.0,,0.0,
130,87.0,1.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Proximity/location,"No, they could not help us with the dispute",D,Chief/Assistant Chief,200.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
131,87.0,2.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Proximity/location,"No, they could not help us with the dispute",D,Chief/Assistant Chief,500.0,,0.0,,,0.0,0.0,,0.0,0.0
132,87.0,5.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,200.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
133,87.0,7.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,200.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
134,87.0,10.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,450.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
135,88.0,9.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Other (specify),"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,,0.0,,B,Extended Family Member,0.0,,0.0,
136,88.0,9.0,106,Natural resources (communal gr,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,D,National Government,0.0,,0.0,
137,88.0,10.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
138,89.0,4.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Tradition,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,C,Traditional Leader/Elder,0.0,,0.0,
139,90.0,7.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",D,Chief/Assistant Chief,3500.0,X,Other (Specify),500.0,D,National Government,2000.0,,0.0,
140,90.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Most comfortable with this person,"Yes, and the matter is resolved",X,Other (Specify),,,0.0,,D,National Government,10000.0,,0.0,
141,92.0,2.0,114,Corruption/bribery,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",L,Police,0.0,P,None,0.0,,0.0,0.0,,0.0,0.0
142,92.0,5.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
143,92.0,5.0,108,Disputes over personal propert,Yes,Directly to the other party,Party has community/family respect,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,0.0
144,92.0,5.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,3000.0,M,Courts,0.0,,0.0,0.0,,0.0,0.0
145,92.0,6.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,
146,92.0,8.0,101,"Land (squatters, allocation, t",Yes,Other (specify),Party has technical skill,"Yes, and the matter is resolved",X,Other (Specify),200.0,,0.0,0.0,X,Other (Specify),0.0,,0.0,0.0
147,92.0,9.0,102,"Commercial (unpaid debts, unde",Yes,Police,Party has technical skill,"Yes, and the matter is resolved",L,Police,1000.0,P,None,0.0,H,Police,300.0,,0.0,0.0
148,93.0,6.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,,X,Other (Specify),,,0.0,
149,94.0,9.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,4000.0,P,None,0.0,D,National Government,0.0,X,Other (Specify),0.0
150,95.0,2.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Party has community/family respect,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,D,Chief/Assistant Chief,0.0,B,Extended Family Member,0.0,D,National Government,1000.0
151,95.0,4.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Party has community/family respect,"No, they decided not to rule on the matter",D,Chief/Assistant Chief,0.0,,0.0,,D,National Government,2800.0,,0.0,
152,95.0,7.0,104,Succession and inheritance (in,Yes,Courts,Party has technical skill,"No, they decided not to rule on the matter",M,Courts,2000.0,K,Lawyer,10000.0,I,Courts,4000.0,J,Lawyer,1200.0
153,95.0,8.0,104,Succession and inheritance (in,Yes,Other (specify),Party has community/family respect,"No, they decided not to rule on the matter",X,Other (Specify),0.0,,0.0,,X,Other (Specify),3940.0,,0.0,
154,95.0,9.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Would cause least disruption to life,"No, they decided not to rule on the matter",B,Extended Family Members (Outside The Household),0.0,D,Chief/Assistant Chief,0.0,B,Extended Family Member,1000.0,D,National Government,500.0
155,95.0,10.0,105,"Criminal matters (murder,sexua",Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,2000.0,K,Lawyer,50000.0,I,Courts,10000.0,J,Lawyer,3000.0
156,96.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
157,96.0,1.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Cost,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,,0.0,0.0,D,National Government,0.0,,0.0,0.0
