,clid,hhid,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10_m,r10_y,r11,r12,r13
11,5.0,1.0,Yes,Yes,1.0,SACCO LOAN,1.0, Saccos  ,School Fees (Education)  ,20000.0,30.0,2.0,24.0,12.0,15000.0,None 
12,5.0,3.0,Yes,Yes,1.0,FRIENDS CREDIT,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,3000.0,2.0,0.0,0.0,0.0,0.0,None 
13,5.0,5.0,Yes,Yes,1.0,SMEP BANK,1.0, Micro-Finance Inst  ,School Fees (Education)  ,100000.0,30.0,1.0,0.0,12.0,30000.0,None 
14,5.0,5.0,Yes,Yes,2.0,SMEP BANK,2.0, Micro-Finance Inst  ,Business/Investment   ,100000.0,30.0,1.0,0.0,12.0,30000.0,None 
15,5.0,5.0,Yes,Yes,3.0,FRIENDS LOAN,2.0, Relative/ Friend/Neighbour  ,Business/Investment   ,20000.0,7.0,0.0,0.0,0.0,0.0,None 
16,6.0,5.0,Yes,Yes,1.0,CHAMA LOAN,2.0, Self-Help Groups/Chamas  ,Purchase of Agricultural Inputs  ,4000.0,0.0,10.0,0.0,4.0,1000.0,None 
17,7.0,1.0,Yes,No,,,,,,,,,,,,
18,8.0,1.0,Yes,Yes,1.0,MUM,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,0.0,0.0,,1.0,0.0,None 
19,8.0,2.0,Yes,Yes,1.0,BANK LOAN,3.0, Commercial Banks  ,Business/Investment   ,50000.0,14.0,20.0,,6.0,30000.0,Household Goods 
20,8.0,2.0,Yes,Yes,2.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,50000.0,14.0,16.0,,12.0,30000.0,Household Goods 
21,8.0,3.0,Yes,Yes,1.0,FRIEND LOAN,1.0, Relative/ Friend/Neighbour  ,Medical Expense   ,5000.0,1.0,0.0,,12.0,5000.0,None 
22,8.0,3.0,Yes,Yes,2.0,FRIEND LOAN,2.0, Relative/ Friend/Neighbour  ,Medical Expense   ,4000.0,1.0,0.0,,12.0,4000.0,None 
23,8.0,4.0,Yes,Yes,1.0,RELATIVE LOAN,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,16000.0,14.0,0.0,,12.0,16000.0,None 
24,8.0,5.0,Yes,Yes,1.0,FRIEND LOAN,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,2.0,0.0,,1.0,800.0,Other  
25,8.0,5.0,Yes,Yes,2.0,FRIEND LOAN,2.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,1000.0,2.0,20.0,,1.0,200.0,Other  
26,10.0,2.0,Yes,Yes,1.0,BANK LOAN,1.0, Commercial Banks  ,Purchase of Agricultural Inputs  ,10000.0,0.0,6.0,0.0,10.0,9000.0,Individual/Guarantor  
27,10.0,4.0,Yes,Yes,1.0,BANK LOAN,1.0, Commercial Banks  ,Business/Investment   ,500000.0,30.0,15.0,0.0,24.0,425000.0,Individual/Guarantor  
28,10.0,6.0,Yes,Yes,1.0,BANK LOAN,2.0, Commercial Banks  ,School Fees (Education)  ,80000.0,14.0,8.0,0.0,12.0,36000.0,Individual/Guarantor  
29,11.0,1.0,Yes,Yes,1.0,GROUP LOAN,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,25000.0,30.0,5.0,,24.0,11800.0,Other  
30,11.0,4.0,Yes,Yes,1.0,SUBSISTENCE,1.0, Mobile Phone Platform  ,Subsistence Needs  ,5000.0,1.0,0.0,10.0,1.0,0.0,Individual/Guarantor  
31,11.0,4.0,Yes,Yes,2.0,MEDICAL EXPENSE,2.0, Relative/ Friend/Neighbour  ,Medical Expense   ,3000.0,1.0,0.0,0.0,1.0,0.0,Individual/Guarantor  
32,11.0,5.0,Yes,Yes,1.0,,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,20000.0,14.0,0.0,0.0,10.0,20000.0,Livestock  
33,11.0,6.0,Yes,Yes,1.0,SMEP LOAN,1.0, Religious Inst  ,Business/Investment   ,1000000.0,90.0,,30.0,29.0,220000.0,Motor Vehicle/Cycle 
34,11.0,7.0,Yes,Yes,1.0,SHOP LOAN,1.0, Merchant/Shop  ,Subsistence Needs  ,1000.0,0.0,0.0,0.0,1.0,1000.0,Livestock  
35,13.0,1.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,500.0,0.0,0.0,0.0,2.0,500.0,None 
36,13.0,2.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Purchase of Motor Vehicles/Cycles  ,3000.0,0.0,10.0,0.0,3.0,3000.0,Other  
37,13.0,2.0,Yes,Yes,2.0,SOLAR M-KOPA,1.0, Other  ,Subsistence Needs  ,18000.0,0.0,10.0,10.0,12.0,9000.0,None 
38,13.0,2.0,Yes,Yes,3.0,CASH,2.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,1000.0,0.0,0.0,0.0,1.0,1000.0,None 
39,13.0,3.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,School Fees (Education)  ,20000.0,0.0,1.8,1.8,24.0,18000.0,Individual/Guarantor  
40,13.0,4.0,Yes,Yes,1.0,FOOD ITEMS,1.0, Merchant/Shop  ,Subsistence Needs  ,1500.0,0.0,0.0,0.0,2.0,1000.0,None 
41,13.0,6.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,Business/Investment   ,300000.0,7.0,0.0,16.0,12.0,30000.0,Business Stock 
42,13.0,6.0,Yes,Yes,2.0,CASH,1.0, Micro-Finance Inst  ,Business/Investment   ,100000.0,7.0,0.0,10.0,12.0,10000.0,Business Stock 
43,14.0,1.0,Yes,Yes,1.0,LOAN,2.0,,Purchase of Agricultural Inputs  ,50000.0,30.0,,,12.0,0.0,Shares  
44,14.0,4.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,School Fees (Education)  ,60000.0,28.0,1.5,18.0,48.0,40000.0,Salary 
45,14.0,7.0,Yes,Yes,1.0,CASH,2.0, Micro-Finance Inst  ,School Fees (Education)  ,80000.0,21.0,20.0,240.0,12.0,24000.0,Motor Vehicle/Cycle 
46,14.0,8.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,15000.0,14.0,16.4,,12.0,8200.0,Shares  
47,14.0,9.0,Yes,Yes,1.0,CASH,1.0, Micro-Finance Inst  ,Business/Investment   ,120000.0,365.0,11.4,137.0,12.0,123300.0,Motor Vehicle/Cycle 
48,15.0,2.0,Yes,Yes,1.0,SCHOOL FEE,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,10000.0,0.0,12.0,0.0,4.0,0.0,None 
49,15.0,4.0,Yes,Yes,1.0,CHAMA MONEY,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,5000.0,7.0,0.0,0.0,1.0,2000.0,None 
50,15.0,9.0,Yes,Yes,1.0,BANK LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,60000.0,60.0,9.2,0.0,12.0,20000.0,Household Goods 
51,16.0,4.0,Yes,Yes,1.0,WEDDING PREPARATIONS,1.0, Saccos  ,Ceremony/Wedding  ,32000.0,21.0,1.3,,12.0,12000.0,
52,16.0,5.0,Yes,Yes,1.0,EDUCATION FEES,1.0, Saccos  ,School Fees (Education)  ,150000.0,7.0,,,12.0,40000.0,Shares  
53,18.0,4.0,Yes,Yes,1.0,EDUCATION,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,20000.0,14.0,26.0,0.0,9.0,7000.0,Shares  
54,19.0,1.0,Yes,Yes,1.0,FRIENDS,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,5000.0,0.0,0.0,,1.0,0.0,None 
55,19.0,1.0,Yes,Yes,2.0,FAMILY,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,2000.0,0.0,0.0,,1.0,0.0,None 
56,19.0,2.0,Yes,Yes,1.0,SACCO,1.0, Saccos  ,Business/Investment   ,,,,,,,Shares  
57,19.0,2.0,Yes,Yes,2.0,SACCO,2.0, Saccos  ,Business/Investment   ,850000.0,4.0,4.0,,48.0,800000.0,Shares  
58,19.0,3.0,Yes,Yes,1.0,FRIEND LOAN,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,0.0,0.0,,1.0,300.0,None 
59,19.0,3.0,Yes,Yes,2.0,FRIEND LOAN,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,500.0,0.0,0.0,,1.0,0.0,None 
60,19.0,7.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,100000.0,30.0,,,24.0,84000.0,Individual/Guarantor  
61,19.0,7.0,Yes,Yes,2.0,CHAMA,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,20000.0,30.0,,,18.0,15000.0,Individual/Guarantor  
62,20.0,2.0,Yes,Yes,1.0,RAFIKI SACCO,2.0, Saccos  ,School Fees (Education)  ,60000.0,30.0,,21.0,6.0,50000.0,Shares  
63,20.0,3.0,Yes,Yes,1.0,MSHWARI,1.0, Commercial Banks  ,Subsistence Needs  ,6000.0,1.0,10.0,,6.0,5000.0,Shares  
64,20.0,3.0,Yes,Yes,2.0,CHAMA,2.0, Self-Help Groups/Chamas  ,Purchase of Livestock  ,100000.0,30.0,,10.0,12.0,40000.0,Shares  
65,20.0,5.0,Yes,No,,,,,,,,,,,,
66,20.0,7.0,Yes,No,,,,,,,,,,,,
67,21.0,1.0,Yes,Yes,1.0,TWELVE SISTERS,1.0, Self-Help Groups/Chamas  ,Purchase/Construction of Dwelling  ,40000.0,1.0,10.0,,3.0,0.0,None 
68,21.0,6.0,Yes,Yes,1.0,KAPSARA SACCO,1.0, Saccos  ,School Fees (Education)  ,30000.0,14.0,5.0,,12.0,25000.0,Individual/Guarantor  
69,21.0,6.0,Yes,Yes,2.0,GREEN FEDHA SACCO,1.0, Saccos  ,Purchase of Agricultural Machinery  ,34000.0,2.0,5.0,,12.0,30000.0,Individual/Guarantor  
70,21.0,10.0,Yes,Yes,1.0,MERRY GO ROUND,1.0, Self-Help Groups/Chamas  ,Purchase of Agricultural Inputs  ,15000.0,1.0,10.0,,1.0,0.0,None 
71,22.0,4.0,Yes,Yes,1.0,CASH,2.0, Self-Help Groups/Chamas  ,Business/Investment   ,30000.0,7.0,10.0,,6.0,0.0,Household Goods 
72,22.0,7.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,300000.0,14.0,18.0,,18.0,60000.0,Land Title  
73,22.0,9.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,9500.0,1.0,10.0,,1.0,10500.0,Household Goods 
74,22.0,9.0,Yes,Yes,2.0,CASH,4.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,14000.0,1.0,10.0,,1.0,15000.0,Household Goods 
75,23.0,1.0,Yes,Yes,1.0,EQUITY,2.0, Commercial Banks  ,Business/Investment   ,600000.0,3.0,0.0,16.0,72.0,400000.0,Salary 
76,23.0,5.0,Yes,Yes,1.0,COMMERCIAL BANK,2.0, Commercial Banks  ,Purchase of Land  ,500000.0,5.0,0.0,22.0,72.0,112000.0,Salary 
77,23.0,7.0,Yes,Yes,1.0,TABLE BANKING,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,50000.0,36.0,0.0,12.0,12.0,25000.0,Individual/Guarantor  
78,24.0,1.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,5000.0,0.0,0.0,0.0,3.0,3000.0,None 
79,24.0,3.0,Yes,Yes,1.0,SHOES,3.0, Merchant/Shop  ,Subsistence Needs  ,600.0,0.0,0.0,0.0,0.0,600.0,None 
80,24.0,3.0,Yes,Yes,2.0,CASH,1.0, Self-Help Groups/Chamas  ,Medical Expense   ,5000.0,0.0,10.0,0.0,6.0,500.0,None 
81,24.0,5.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,1000.0,0.0,0.0,0.0,3.0,1000.0,None 
82,24.0,7.0,Yes,Yes,1.0,CASH,2.0, Self-Help Groups/Chamas  ,Business/Investment   ,12000.0,0.0,10.0,0.0,6.0,8000.0,None 
83,24.0,7.0,Yes,Yes,2.0,CASH,5.0, Self-Help Groups/Chamas  ,Business/Investment   ,5000.0,0.0,10.0,0.0,3.0,2500.0,None 
84,24.0,8.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,5000.0,0.0,0.0,0.0,24.0,5000.0,None 
85,24.0,8.0,Yes,Yes,2.0,FOOD ITEMS,1.0, Merchant/Shop  ,Subsistence Needs  ,1700.0,0.0,0.0,0.0,3.0,1700.0,None 
86,26.0,3.0,Yes,Yes,1.0,SELF HELP GROUP,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,26000.0,1.0,10.0,0.0,2.0,0.0,Shares  
87,26.0,4.0,Yes,Yes,1.0,KWFT LOAN,2.0, Micro-Finance Inst  ,School Fees (Education)  ,30000.0,30.0,1.7,20.0,12.0,9000.0,Individual/Guarantor  
88,26.0,5.0,Yes,Yes,1.0,CHAMA,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,1100.0,0.0,10.0,,1.0,1110.0,Individual/Guarantor  
89,26.0,6.0,Yes,Yes,1.0,GENERAL SHOP,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,0.0,0.0,,0.0,1000.0,None 
90,26.0,6.0,Yes,Yes,2.0,GROUP/CHAMA,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,500.0,0.0,10.0,,1.0,500.0,None 
91,26.0,7.0,Yes,Yes,1.0,SHOP CREDIT,1.0, Merchant/Shop  ,Subsistence Needs  ,3500.0,1.0,0.0,0.0,1.0,3500.0,None 
92,27.0,1.0,Yes,Yes,1.0,SUGAR,1.0, Merchant/Shop  ,Subsistence Needs  ,50.0,0.0,0.0,0.0,0.0,0.0,None 
93,27.0,1.0,Yes,Yes,2.0,FUNDRAISER MONEY,1.0, Relative/ Friend/Neighbour  ,Other  ,200.0,0.0,0.0,0.0,0.0,0.0,None 
94,27.0,2.0,Yes,Yes,1.0,HOUSEHOLD GOODS,2.0, Merchant/Shop  ,Subsistence Needs  ,1000.0,0.0,0.0,0.0,0.0,0.0,None 
95,27.0,3.0,Yes,Yes,1.0,CONSTRUCTION SHEETS,1.0, Merchant/Shop  ,Purchase/Construction of Dwelling  ,5000.0,2.0,0.0,0.0,0.0,0.0,None 
96,27.0,4.0,Yes,Yes,1.0,INDIVIDUAL LOAN,1.0, Relative/ Friend/Neighbour  ,Medical Expense   ,10000.0,2.0,0.0,0.0,1.0,0.0,None 
97,27.0,5.0,Yes,Yes,1.0,HOUSEHOLD GOODS,2.0, Merchant/Shop  ,Subsistence Needs  ,2000.0,0.0,0.0,0.0,0.0,50.0,None 
98,27.0,6.0,Yes,Yes,1.0,HOUSEHOLD,1.0, Merchant/Shop  ,Subsistence Needs  ,1200.0,0.0,0.0,0.0,0.0,0.0,None 
99,27.0,7.0,Yes,Yes,1.0,M-KOPA LOAN,1.0, Mobile Phone Platform  ,Subsistence Needs  ,14400.0,1.0,1.5,18.1,12.0,0.0,None 
100,27.0,8.0,Yes,Yes,1.0,SCHOOL LOAN,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,3000.0,5.0,0.0,0.0,2.0,2000.0,None 
101,27.0,8.0,Yes,Yes,2.0,HOUSEHOLD GOODS,1.0, Merchant/Shop  ,Subsistence Needs  ,600.0,0.0,0.0,0.0,0.0,0.0,None 
102,27.0,10.0,Yes,Yes,1.0,FEES  LOAN,1.0, Merchant/Shop  ,School Fees (Education)  ,10000.0,5.0,0.0,0.0,0.0,2000.0,None 
103,27.0,10.0,Yes,Yes,2.0,HOUSEHOLD GOODS,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,2000.0,0.0,0.0,0.0,0.0,0.0,None 
104,28.0,7.0,Yes,Yes,1.0,SAFINA LOAN,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,20000.0,1.0,,20.0,12.0,14000.0,Individual/Guarantor  
105,29.0,3.0,Yes,Yes,1.0,MSHWARI,1.0, Mobile Phone Platform  ,Subsistence Needs  ,500.0,1.0,0.0,10.0,2.0,500.0,Other  
106,29.0,6.0,Yes,Yes,1.0,LOAN,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,1200000.0,7.0,17.0,0.0,72.0,900000.0,Salary 
107,29.0,6.0,Yes,Yes,2.0,LOAN,2.0, Saccos  ,Purchase/Construction of Dwelling  ,1200000.0,7.0,17.0,0.0,72.0,700000.0,Salary 
108,30.0,1.0,Yes,No,,,,,,,,,,,,
109,30.0,7.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,Purchase of Agricultural Machinery  ,100000.0,7.0,2.0,,8.0,0.0,Salary 
110,33.0,4.0,Yes,Yes,1.0,EHG SACCO,1.0, Saccos  ,Purchase/Construction of Dwelling  ,50000.0,7.0,1.5,,10.0,4600.0,Individual/Guarantor  
111,33.0,8.0,Yes,Yes,1.0,SACCO LOAN,1.0, Saccos  ,School Fees (Education)  ,90000.0,7.0,,10.0,12.0,39000.0,Shares  
112,33.0,8.0,Yes,Yes,2.0,BANK LOAN A,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,150000.0,21.0,1.0,12.0,24.0,20000.0,Salary 
113,33.0,8.0,Yes,Yes,3.0,BANK LOAN B,1.0, Commercial Banks  ,School Fees (Education)  ,10000.0,3.0,1.0,12.0,2.0,4000.0,Salary 
114,33.0,9.0,Yes,Yes,1.0,MSHWARI LOAN,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1000.0,0.0,1.0,,1.0,0.0,None 
115,33.0,9.0,Yes,Yes,2.0,INDIVIDUAL,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,0.0,0.0,,1.0,0.0,None 
116,33.0,10.0,Yes,Yes,1.0,SACCO LOAN,1.0, Saccos  ,School Fees (Education)  ,30000.0,7.0,1.5,0.0,12.0,6000.0,Shares  
117,34.0,1.0,Yes,Yes,1.0,DEVELOPMENT,1.0, Commercial Banks  ,Purchase of Land  ,162000.0,30.0,18.0,0.0,36.0,5844.0,Salary 
118,34.0,4.0,Yes,Yes,1.0,SCHOOL FEES,1.0, Micro-Finance Inst  ,School Fees (Education)  ,50000.0,30.0,10.0,,12.0,15000.0,Household Goods 
119,34.0,5.0,Yes,Yes,1.0,FARMING,1.0, Commercial Banks  ,Purchase of Agricultural Inputs  ,10000.0,1.0,7.0,0.0,1.0,0.0,Salary 
120,34.0,6.0,Yes,Yes,1.0,BUILDING,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,100000.0,30.0,8.0,0.0,12.0,10000.0,Salary 
121,34.0,7.0,Yes,Yes,1.0,SCHOOL FEES,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,5000.0,14.0,4.0,,1.0,0.0,Individual/Guarantor  
122,34.0,7.0,Yes,Yes,2.0,MATERIALS CLOTH FOR WOMEN,2.0, Relative/ Friend/Neighbour  ,Business/Investment   ,2200.0,1.0,1.0,,2.0,2200.0,Business Stock 
123,36.0,2.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,5000.0,1.0,20.0,0.0,3.0,1000.0,None 
124,36.0,3.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,20000.0,30.0,10.0,0.0,12.0,4000.0,None 
125,36.0,8.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,4000.0,0.0,10.0,0.0,3.0,0.0,
126,39.0,1.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,Purchase/Construction of Dwelling  ,100000.0,7.0,12.0,,60.0,0.0,Individual/Guarantor  
127,39.0,2.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,2000.0,1.0,0.0,,2.0,0.0,Individual/Guarantor  
128,39.0,3.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,2000.0,2.0,10.0,,2.0,1000.0,Individual/Guarantor  
129,39.0,4.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,1.0,0.0,,1.0,0.0,Individual/Guarantor  
130,39.0,5.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,1.0,0.0,,1.0,0.0,Individual/Guarantor  
131,39.0,7.0,Yes,Yes,1.0,GOODS,1.0, Merchant/Shop  ,Subsistence Needs  ,600.0,1.0,0.0,,2.0,0.0,Individual/Guarantor  
132,39.0,8.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,500.0,1.0,0.0,,2.0,0.0,Individual/Guarantor  
133,39.0,9.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,2000.0,2.0,0.0,,,0.0,Individual/Guarantor  
134,39.0,10.0,Yes,Yes,1.0,CASH,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,6000.0,2.0,10.0,,4.0,0.0,Individual/Guarantor  
135,41.0,3.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,10000.0,14.0,10.0,0.0,12.0,2000.0,Shares  
136,41.0,5.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,2000.0,1.0,10.0,0.0,3.0,2000.0,Shares  
137,41.0,8.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,15000.0,1.0,10.0,0.0,3.0,15000.0,Shares  
138,41.0,9.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,14000.0,2.0,10.0,0.0,12.0,10000.0,Shares  
139,43.0,2.0,Yes,Yes,1.0,SHOP GOODS,1.0, Merchant/Shop  ,Business/Investment   ,120000.0,0.0,0.0,0.0,12.0,6000.0,None 
140,43.0,2.0,Yes,Yes,2.0,CASH,2.0, Mobile Phone Platform  ,Subsistence Needs  ,4000.0,0.0,7.5,0.0,1.0,1273.0,None 
141,43.0,2.0,Yes,Yes,3.0,CSASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1000.0,1.0,0.0,0.0,1.0,1000.0,None 
142,43.0,4.0,Yes,Yes,1.0,FOOD ITEMS,3.0, Merchant/Shop  ,Subsistence Needs  ,36000.0,0.0,0.0,0.0,12.0,0.0,None 
143,43.0,4.0,Yes,Yes,2.0,FOOD ITEMS,2.0, Merchant/Shop  ,Subsistence Needs  ,6000.0,0.0,0.0,0.0,12.0,460.0,None 
144,43.0,6.0,Yes,Yes,1.0,FOOD ITEMS,1.0, Merchant/Shop  ,Subsistence Needs  ,6000.0,0.0,0.0,0.0,12.0,230.0,None 
145,43.0,6.0,Yes,Yes,2.0,CASH,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,4000.0,2.0,10.0,0.0,1.0,0.0,Individual/Guarantor  
146,43.0,6.0,Yes,Yes,3.0,CASH,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,2000.0,1.0,10.0,0.0,1.0,2300.0,Individual/Guarantor  
147,43.0,6.0,Yes,Yes,4.0,CASH,1.0, Money Lender(Shylock )  ,School Fees (Education)  ,2000.0,1.0,30.0,0.0,1.0,0.0,None 
148,43.0,7.0,Yes,Yes,1.0,FOOD ITEMS,1.0, Merchant/Shop  ,Subsistence Needs  ,12000.0,0.0,0.0,0.0,12.0,220.0,None 
149,43.0,8.0,Yes,Yes,1.0,FOOD ITEMS,2.0, Merchant/Shop  ,Subsistence Needs  ,18000.0,0.0,0.0,0.0,12.0,390.0,None 
150,43.0,9.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,4800.0,0.0,0.0,0.0,2.0,0.0,None 
151,44.0,2.0,Yes,Yes,1.0,COOP BANK,1.0, Commercial Banks  ,Business/Investment   ,500000.0,14.0,,18.0,16.0,30000.0,Shares  
152,44.0,2.0,Yes,Yes,2.0,KENYA WOMENS,2.0, Micro-Finance Inst  ,Business/Investment   ,500000.0,30.0,,20.0,24.0,156000.0,Livestock  
153,45.0,1.0,Yes,Yes,1.0,CASH,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,100000.0,0.0,,27.0,24.0,6000.0,Income 
154,45.0,2.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,School Fees (Education)  ,20000.0,21.0,0.0,19.0,12.0,0.0,Shares  
155,45.0,2.0,Yes,Yes,2.0,CASH,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,8000.0,0.0,10.0,0.0,6.0,0.0,None 
156,45.0,4.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,Purchase of Livestock  ,40000.0,7.0,3.0,0.0,6.0,10000.0,None 
157,45.0,5.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,Medical Expense   ,4000.0,0.0,0.0,16.0,4.0,0.0,Income 
158,45.0,8.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,School Fees (Education)  ,72000.0,21.0,20.0,0.0,12.0,30000.0,Shares  
159,45.0,8.0,Yes,Yes,2.0,CASH,2.0, Saccos  ,School Fees (Education)  ,60000.0,21.0,20.0,0.0,12.0,40000.0,Shares  
