,clid,hhid,r01,r17,r18_1,r18_2
185,10.0,7.0,No,3.0,J,
186,10.0,7.0,No,4.0,J,
187,10.0,8.0,No,2.0,A,
188,10.0,8.0,No,3.0,J,
189,10.0,8.0,No,1.0,A,
190,10.0,9.0,No,1.0,A,
191,10.0,9.0,No,3.0,I,
192,10.0,9.0,No,2.0,A,
193,10.0,10.0,No,2.0,B,
194,10.0,10.0,No,5.0,J,
195,10.0,10.0,No,3.0,J,
196,10.0,10.0,No,1.0,A,
197,10.0,10.0,No,4.0,J,
198,11.0,2.0,No,2.0,J,
199,11.0,2.0,No,1.0,G,
200,11.0,3.0,No,3.0,J,
201,11.0,3.0,No,1.0,E,F
202,11.0,3.0,No,2.0,J,
203,11.0,8.0,No,3.0,J,
204,11.0,8.0,No,4.0,J,
205,11.0,8.0,No,2.0,E,
206,11.0,8.0,No,1.0,E,F
207,12.0,1.0,No,1.0,B,C
208,12.0,2.0,No,1.0,D,
209,12.0,3.0,No,1.0,A,X
210,12.0,4.0,No,1.0,B,
211,12.0,5.0,No,2.0,B,
212,12.0,6.0,No,2.0,A,B
213,12.0,7.0,No,1.0,A,
214,12.0,7.0,No,3.0,A,
215,12.0,7.0,No,8.0,J,
216,12.0,7.0,No,5.0,A,
217,12.0,7.0,No,10.0,J,
218,12.0,7.0,No,7.0,J,
219,12.0,7.0,No,2.0,A,
220,12.0,7.0,No,4.0,A,
221,12.0,7.0,No,6.0,A,
222,12.0,7.0,No,11.0,J,
223,12.0,7.0,No,9.0,J,
224,12.0,8.0,No,3.0,A,
225,12.0,8.0,No,6.0,A,
226,12.0,8.0,No,5.0,A,
227,12.0,8.0,No,1.0,A,
228,12.0,8.0,No,2.0,A,
229,12.0,8.0,No,4.0,A,
230,12.0,9.0,No,2.0,B,
231,13.0,5.0,No,1.0,A,D
232,13.0,5.0,No,4.0,J,
233,13.0,5.0,No,3.0,J,
234,13.0,5.0,No,2.0,I,H
235,13.0,7.0,No,1.0,A,
236,13.0,8.0,No,2.0,H,
237,13.0,8.0,No,3.0,J,
238,13.0,8.0,No,1.0,H,
239,14.0,3.0,No,3.0,I,
240,14.0,3.0,No,1.0,E,
241,14.0,3.0,No,2.0,A,
242,14.0,5.0,No,1.0,E,
243,14.0,6.0,No,3.0,I,
244,14.0,6.0,No,1.0,C,E
245,14.0,6.0,No,2.0,C,E
246,14.0,10.0,No,1.0,F,G
247,15.0,1.0,No,4.0,J,
248,15.0,1.0,No,1.0,H,
249,15.0,1.0,No,3.0,J,
250,15.0,1.0,No,2.0,A,
251,15.0,3.0,No,3.0,J,
252,15.0,3.0,No,4.0,J,
253,15.0,3.0,No,2.0,H,
254,15.0,3.0,No,1.0,H,
255,15.0,5.0,No,4.0,J,
256,15.0,5.0,No,3.0,J,
257,15.0,5.0,No,2.0,A,
258,15.0,5.0,No,1.0,A,
259,15.0,6.0,No,1.0,A,
260,15.0,6.0,No,2.0,A,
261,15.0,7.0,No,1.0,G,
262,15.0,8.0,No,1.0,A,
263,15.0,8.0,No,3.0,J,
264,15.0,8.0,No,2.0,A,
265,15.0,10.0,No,2.0,A,
266,15.0,10.0,No,1.0,G,
267,16.0,1.0,No,3.0,J,
268,16.0,1.0,No,4.0,J,
269,16.0,1.0,No,1.0,I,E
270,16.0,1.0,No,2.0,I,E
271,16.0,2.0,No,5.0,J,
272,16.0,2.0,No,1.0,A,
273,16.0,2.0,No,2.0,A,
274,16.0,2.0,No,3.0,I,
275,16.0,2.0,No,4.0,I,
276,16.0,3.0,No,4.0,I,
277,16.0,3.0,No,1.0,E,
278,16.0,3.0,No,5.0,I,
279,16.0,3.0,No,2.0,I,
280,16.0,3.0,No,3.0,I,
281,16.0,6.0,No,1.0,A,
282,16.0,7.0,No,3.0,J,
283,16.0,7.0,No,5.0,J,
284,16.0,7.0,No,4.0,J,
285,16.0,7.0,No,1.0,E,
286,16.0,7.0,No,2.0,I,
287,16.0,8.0,No,1.0,E,
288,16.0,9.0,No,3.0,J,
289,16.0,9.0,No,4.0,I,
290,16.0,9.0,No,2.0,I,
291,16.0,9.0,No,7.0,I,
292,16.0,9.0,No,1.0,A,
293,16.0,9.0,No,6.0,J,
294,16.0,9.0,No,5.0,I,
295,17.0,1.0,No,3.0,J,
296,17.0,1.0,No,4.0,J,
297,17.0,1.0,No,2.0,A,
298,17.0,1.0,No,1.0,A,
299,17.0,1.0,No,5.0,J,
300,17.0,2.0,No,1.0,A,
301,17.0,2.0,No,2.0,A,
302,17.0,3.0,No,1.0,A,
303,17.0,4.0,No,4.0,A,
304,17.0,4.0,No,2.0,A,
305,17.0,4.0,No,1.0,A,
306,17.0,4.0,No,3.0,A,
307,17.0,5.0,No,1.0,A,
308,17.0,6.0,No,2.0,J,
309,17.0,6.0,No,1.0,A,
310,17.0,6.0,No,3.0,J,
311,17.0,7.0,No,1.0,A,
312,17.0,7.0,No,2.0,A,
313,17.0,7.0,No,3.0,J,
314,17.0,8.0,No,1.0,A,
315,17.0,8.0,No,2.0,J,
316,17.0,9.0,No,3.0,A,
317,17.0,9.0,No,2.0,A,
318,17.0,9.0,No,1.0,A,
319,17.0,10.0,No,2.0,A,
320,17.0,10.0,No,1.0,A,
321,17.0,10.0,No,3.0,J,
322,17.0,10.0,No,4.0,J,
323,18.0,1.0,No,1.0,B,
324,18.0,1.0,No,2.0,B,
325,18.0,2.0,No,1.0,A,
326,18.0,2.0,No,5.0,J,
327,18.0,2.0,No,2.0,I,
328,18.0,2.0,No,3.0,J,
329,18.0,2.0,No,6.0,I,
330,18.0,2.0,No,4.0,J,
331,18.0,5.0,No,5.0,J,
332,18.0,5.0,No,2.0,J,
333,18.0,5.0,No,6.0,J,
334,18.0,5.0,No,1.0,C,D
335,18.0,5.0,No,4.0,J,
336,18.0,5.0,No,3.0,J,
337,18.0,6.0,No,1.0,I,
338,18.0,6.0,No,3.0,J,
339,18.0,6.0,No,2.0,J,
340,18.0,7.0,No,1.0,C,
341,19.0,4.0,No,1.0,G,
342,19.0,4.0,No,3.0,A,
343,19.0,4.0,No,2.0,G,
344,19.0,5.0,No,1.0,A,
345,19.0,5.0,No,2.0,G,
346,19.0,5.0,No,3.0,A,
347,19.0,6.0,No,3.0,I,
348,19.0,6.0,No,2.0,E,
349,19.0,6.0,No,4.0,I,
350,19.0,6.0,No,1.0,G,
351,20.0,1.0,No,3.0,J,
352,20.0,1.0,No,2.0,I,
353,20.0,1.0,No,1.0,I,
354,20.0,1.0,No,5.0,J,
355,20.0,1.0,No,4.0,J,
356,20.0,4.0,No,1.0,C,
357,20.0,4.0,No,3.0,I,
358,20.0,4.0,No,5.0,J,
359,20.0,4.0,No,2.0,C,
360,20.0,4.0,No,4.0,J,
361,20.0,5.0,Yes,3.0,J,
362,20.0,5.0,Yes,4.0,J,
363,20.0,5.0,Yes,5.0,J,
364,20.0,6.0,No,1.0,C,
365,20.0,6.0,No,6.0,A,
366,20.0,6.0,No,2.0,C,
367,20.0,6.0,No,3.0,D,
368,20.0,6.0,No,5.0,J,
369,20.0,6.0,No,4.0,J,
370,20.0,7.0,Yes,3.0,J,
371,20.0,7.0,Yes,4.0,J,
372,20.0,7.0,Yes,2.0,J,
373,20.0,8.0,No,4.0,I,
374,20.0,8.0,No,3.0,I,
375,20.0,8.0,No,2.0,I,
376,20.0,8.0,No,1.0,G,
377,20.0,9.0,No,2.0,I,
378,20.0,9.0,No,1.0,I,
379,21.0,2.0,No,2.0,I,
380,21.0,2.0,No,1.0,A,
381,21.0,3.0,No,2.0,A,
382,21.0,3.0,No,1.0,A,
383,21.0,4.0,No,11.0,J,
384,21.0,4.0,No,12.0,J,
385,21.0,4.0,No,6.0,I,
386,21.0,4.0,No,2.0,A,
387,21.0,4.0,No,4.0,A,
388,21.0,4.0,No,5.0,I,
389,21.0,4.0,No,9.0,I,
390,21.0,4.0,No,7.0,I,
391,21.0,4.0,No,1.0,B,C
392,21.0,4.0,No,10.0,J,
393,21.0,4.0,No,3.0,C,
394,21.0,4.0,No,13.0,J,
395,21.0,4.0,No,8.0,I,
396,21.0,5.0,No,1.0,A,
397,21.0,7.0,No,3.0,J,
398,21.0,7.0,No,1.0,A,
399,21.0,7.0,No,2.0,J,
400,21.0,8.0,No,4.0,I,
401,21.0,8.0,No,5.0,J,
402,21.0,8.0,No,6.0,J,
403,21.0,8.0,No,1.0,A,
404,21.0,8.0,No,3.0,I,
405,21.0,8.0,No,2.0,I,
406,21.0,9.0,No,1.0,A,
407,21.0,9.0,No,3.0,I,
408,21.0,9.0,No,7.0,J,
409,21.0,9.0,No,4.0,I,
410,21.0,9.0,No,8.0,J,
411,21.0,9.0,No,2.0,A,
412,21.0,9.0,No,5.0,I,
413,21.0,9.0,No,6.0,I,
414,22.0,1.0,No,5.0,J,
415,22.0,1.0,No,3.0,I,
416,22.0,1.0,No,1.0,A,
417,22.0,1.0,No,4.0,J,
418,22.0,1.0,No,2.0,C,
419,22.0,2.0,No,2.0,E,
420,22.0,2.0,No,5.0,I,
421,22.0,2.0,No,1.0,E,
422,22.0,2.0,No,6.0,I,
423,22.0,2.0,No,4.0,E,
424,22.0,2.0,No,3.0,I,
425,22.0,3.0,No,5.0,I,
426,22.0,3.0,No,1.0,E,B
427,22.0,3.0,No,6.0,E,C
428,22.0,3.0,No,2.0,D,F
429,22.0,3.0,No,3.0,A,
430,22.0,3.0,No,4.0,I,
431,22.0,5.0,No,5.0,J,
432,22.0,5.0,No,2.0,I,J
433,22.0,5.0,No,3.0,J,
434,22.0,5.0,No,4.0,J,
435,22.0,5.0,No,1.0,E,B
436,22.0,6.0,No,1.0,E,C
437,22.0,6.0,No,3.0,E,
438,22.0,6.0,No,2.0,E,C
439,22.0,6.0,No,5.0,I,
440,22.0,6.0,No,4.0,I,
441,22.0,6.0,No,6.0,G,
442,22.0,8.0,No,1.0,E,C
443,22.0,8.0,No,2.0,I,
444,22.0,8.0,No,4.0,J,A
445,22.0,8.0,No,3.0,I,
446,23.0,2.0,No,5.0,J,
447,23.0,2.0,No,3.0,I,
448,23.0,2.0,No,1.0,A,
449,23.0,2.0,No,7.0,J,
450,23.0,2.0,No,4.0,I,
451,23.0,2.0,No,2.0,I,
452,23.0,2.0,No,6.0,J,
453,23.0,3.0,No,4.0,J,
454,23.0,3.0,No,2.0,I,
455,23.0,3.0,No,1.0,A,
456,23.0,3.0,No,3.0,I,
457,23.0,3.0,No,5.0,J,
458,23.0,4.0,No,3.0,I,
459,23.0,4.0,No,2.0,I,
460,23.0,4.0,No,4.0,I,
461,23.0,4.0,No,1.0,D,
462,23.0,6.0,No,1.0,A,
463,23.0,6.0,No,4.0,I,
464,23.0,6.0,No,5.0,J,
465,23.0,6.0,No,7.0,J,
466,23.0,6.0,No,3.0,I,
467,23.0,6.0,No,6.0,J,
468,23.0,6.0,No,2.0,D,
469,24.0,2.0,No,4.0,J,
470,24.0,2.0,No,2.0,D,
471,24.0,2.0,No,1.0,A,
472,24.0,2.0,No,3.0,J,
473,24.0,4.0,No,2.0,D,
474,24.0,4.0,No,1.0,D,
475,24.0,6.0,No,4.0,J,
476,24.0,6.0,No,5.0,J,
477,24.0,6.0,No,3.0,J,
478,24.0,6.0,No,2.0,I,
479,24.0,6.0,No,1.0,D,
480,24.0,9.0,No,6.0,J,
481,24.0,9.0,No,1.0,A,
482,24.0,9.0,No,3.0,J,
483,24.0,9.0,No,5.0,J,
484,24.0,9.0,No,2.0,A,
485,24.0,9.0,No,4.0,J,
486,25.0,1.0,No,3.0,A,
487,25.0,1.0,No,1.0,B,
488,25.0,1.0,No,2.0,B,
489,25.0,2.0,No,1.0,B,
490,25.0,2.0,No,2.0,B,
491,25.0,3.0,No,1.0,A,
492,25.0,4.0,No,5.0,A,
493,25.0,4.0,No,6.0,A,
494,25.0,4.0,No,7.0,J,
495,25.0,4.0,No,1.0,B,
496,25.0,4.0,No,3.0,A,
497,25.0,4.0,No,4.0,A,
498,25.0,4.0,No,2.0,B,
499,25.0,5.0,No,2.0,B,
500,25.0,5.0,No,1.0,B,
501,25.0,6.0,No,3.0,G,
502,25.0,6.0,No,2.0,A,
503,25.0,6.0,No,5.0,A,
504,25.0,6.0,No,9.0,J,
505,25.0,6.0,No,7.0,J,
506,25.0,6.0,No,6.0,A,
507,25.0,6.0,No,8.0,J,
508,25.0,6.0,No,1.0,A,
509,25.0,6.0,No,4.0,G,
510,26.0,1.0,No,3.0,E,
511,26.0,1.0,No,1.0,A,
512,26.0,1.0,No,2.0,E,
513,26.0,1.0,No,4.0,I,
514,26.0,1.0,No,5.0,I,
515,26.0,1.0,No,6.0,I,
516,26.0,2.0,No,4.0,A,
517,26.0,2.0,No,2.0,A,
518,26.0,2.0,No,1.0,A,
519,26.0,2.0,No,5.0,I,
520,26.0,2.0,No,3.0,A,
521,26.0,8.0,No,1.0,A,
522,26.0,9.0,No,1.0,A,
523,27.0,9.0,No,1.0,A,
524,28.0,1.0,No,1.0,G,
525,28.0,1.0,No,3.0,J,
526,28.0,1.0,No,2.0,I,
527,28.0,2.0,No,1.0,G,E
528,28.0,3.0,No,1.0,G,E
529,28.0,3.0,No,2.0,G,
530,28.0,3.0,No,4.0,J,
531,28.0,3.0,No,5.0,J,
532,28.0,3.0,No,3.0,J,
533,28.0,4.0,No,5.0,J,
534,28.0,4.0,No,2.0,J,
535,28.0,4.0,No,3.0,J,
536,28.0,4.0,No,1.0,G,X
537,28.0,4.0,No,4.0,J,
538,28.0,5.0,No,1.0,A,E
539,28.0,6.0,No,4.0,J,
540,28.0,6.0,No,2.0,E,G
541,28.0,6.0,No,1.0,A,
542,28.0,6.0,No,3.0,J,
543,28.0,8.0,No,1.0,A,
544,28.0,9.0,No,4.0,J,
545,28.0,9.0,No,2.0,A,
546,28.0,9.0,No,3.0,J,
547,28.0,9.0,No,1.0,A,
548,28.0,10.0,No,1.0,G,E
549,28.0,10.0,No,5.0,J,
550,28.0,10.0,No,3.0,J,
551,28.0,10.0,No,2.0,G,E
552,28.0,10.0,No,4.0,J,
553,28.0,10.0,No,6.0,J,
554,29.0,1.0,No,1.0,C,
555,29.0,1.0,No,2.0,J,
556,29.0,2.0,No,3.0,J,
557,29.0,2.0,No,2.0,C,D
558,29.0,2.0,No,1.0,C,D
559,29.0,4.0,No,3.0,J,
560,29.0,4.0,No,2.0,I,
561,29.0,4.0,No,1.0,C,
562,29.0,5.0,No,1.0,C,
563,29.0,5.0,No,2.0,C,
564,29.0,5.0,No,3.0,J,
565,30.0,2.0,No,3.0,A,
566,30.0,2.0,No,1.0,A,
567,30.0,2.0,No,2.0,A,
568,30.0,3.0,No,2.0,D,
569,30.0,3.0,No,1.0,G,
570,30.0,4.0,No,1.0,A,
571,30.0,4.0,No,2.0,D,
572,30.0,5.0,No,2.0,D,
573,30.0,5.0,No,1.0,G,
574,30.0,6.0,No,1.0,E,
575,30.0,8.0,No,1.0,E,
576,30.0,9.0,No,1.0,A,G
577,31.0,1.0,No,1.0,G,
578,31.0,2.0,No,1.0,C,E
579,31.0,3.0,No,1.0,G,
580,32.0,1.0,No,1.0,A,
581,32.0,1.0,No,4.0,J,
582,32.0,1.0,No,3.0,H,J
583,32.0,1.0,No,2.0,A,
584,32.0,2.0,No,2.0,A,
585,32.0,2.0,No,1.0,A,
586,32.0,3.0,No,1.0,A,
587,32.0,4.0,No,4.0,I,
588,32.0,4.0,No,5.0,A,
589,32.0,4.0,No,1.0,A,
590,32.0,4.0,No,2.0,I,
591,32.0,4.0,No,3.0,I,
592,32.0,5.0,No,1.0,A,
593,32.0,6.0,No,2.0,J,
594,32.0,6.0,No,1.0,A,
595,32.0,7.0,No,1.0,A,
596,32.0,7.0,No,3.0,I,
597,32.0,7.0,No,4.0,J,
598,32.0,7.0,No,2.0,A,
599,32.0,8.0,No,1.0,C,
600,33.0,1.0,No,2.0,A,
601,33.0,1.0,No,1.0,C,
602,33.0,1.0,No,3.0,J,
603,33.0,2.0,No,1.0,A,
604,33.0,2.0,No,2.0,G,
605,33.0,3.0,No,1.0,C,
606,33.0,5.0,No,1.0,A,
607,33.0,5.0,No,2.0,A,
608,33.0,6.0,No,1.0,A,
609,33.0,7.0,No,1.0,A,
610,34.0,2.0,No,5.0,J,
611,34.0,2.0,No,1.0,G,
612,34.0,2.0,No,4.0,J,
613,34.0,2.0,No,2.0,G,
614,34.0,2.0,No,3.0,J,
615,34.0,8.0,No,2.0,I,G
616,34.0,8.0,No,1.0,I,G
617,34.0,9.0,No,1.0,E,G
618,35.0,1.0,No,1.0,A,
619,35.0,2.0,No,1.0,A,
620,35.0,3.0,No,1.0,D,
621,35.0,4.0,No,1.0,A,
622,35.0,5.0,No,1.0,H,
623,35.0,5.0,No,2.0,B,
624,35.0,6.0,No,1.0,A,
625,35.0,7.0,No,1.0,A,
626,36.0,1.0,No,2.0,D,
627,36.0,1.0,No,1.0,D,
628,36.0,4.0,No,3.0,I,
629,36.0,4.0,No,4.0,I,
630,36.0,4.0,No,6.0,J,
631,36.0,4.0,No,1.0,C,
632,36.0,4.0,No,2.0,G,
633,36.0,4.0,No,5.0,J,
634,36.0,5.0,No,5.0,J,
635,36.0,5.0,No,2.0,D,
636,36.0,5.0,No,1.0,C,
637,36.0,5.0,No,4.0,I,
638,36.0,5.0,No,3.0,I,
639,36.0,6.0,No,1.0,G,
640,36.0,7.0,No,1.0,D,
641,36.0,7.0,No,2.0,G,
642,36.0,9.0,No,1.0,B,
643,36.0,10.0,No,3.0,J,
644,36.0,10.0,No,2.0,J,
645,36.0,10.0,No,4.0,J,
646,36.0,10.0,No,1.0,D,
647,37.0,1.0,No,1.0,A,
648,37.0,1.0,No,2.0,A,
649,37.0,1.0,No,5.0,A,
650,37.0,1.0,No,3.0,G,
651,37.0,1.0,No,4.0,G,J
652,37.0,2.0,No,1.0,A,
653,37.0,3.0,No,1.0,G,
654,37.0,4.0,No,2.0,A,
655,37.0,4.0,No,3.0,J,
656,37.0,4.0,No,1.0,A,
657,37.0,5.0,No,4.0,X,
658,37.0,5.0,No,3.0,G,
659,37.0,5.0,No,1.0,A,
660,37.0,5.0,No,2.0,A,
661,37.0,6.0,No,4.0,G,
662,37.0,6.0,No,3.0,G,
663,37.0,6.0,No,1.0,A,
664,37.0,6.0,No,2.0,A,
665,37.0,6.0,No,5.0,J,
666,38.0,1.0,No,1.0,A,
667,38.0,1.0,No,2.0,A,
668,38.0,2.0,No,2.0,A,
669,38.0,2.0,No,1.0,A,
670,38.0,3.0,No,2.0,A,D
671,38.0,3.0,No,1.0,A,D
672,38.0,4.0,No,2.0,A,
673,38.0,4.0,No,1.0,A,
674,38.0,5.0,No,1.0,B,A
675,38.0,5.0,No,2.0,D,A
676,38.0,6.0,No,2.0,B,
677,38.0,6.0,No,1.0,A,
678,38.0,6.0,No,3.0,C,
679,38.0,7.0,No,2.0,A,
680,38.0,7.0,No,1.0,A,
681,38.0,8.0,No,2.0,A,
682,38.0,8.0,No,1.0,D,
683,38.0,9.0,No,4.0,A,
684,38.0,9.0,No,2.0,A,
685,38.0,9.0,No,1.0,A,
686,38.0,9.0,No,3.0,A,
687,38.0,10.0,No,1.0,A,
688,38.0,10.0,No,2.0,A,
689,38.0,10.0,No,3.0,A,
690,39.0,6.0,No,1.0,A,
691,40.0,1.0,No,2.0,X,
692,40.0,1.0,No,6.0,X,
693,40.0,1.0,No,3.0,X,
694,40.0,1.0,No,4.0,X,
695,40.0,1.0,No,5.0,X,
696,40.0,1.0,No,1.0,X,
697,40.0,2.0,No,9.0,X,
698,40.0,2.0,No,1.0,X,
699,40.0,2.0,No,4.0,X,
700,40.0,2.0,No,8.0,X,
701,40.0,2.0,No,6.0,X,
702,40.0,2.0,No,5.0,X,
703,40.0,2.0,No,7.0,X,
704,40.0,2.0,No,3.0,X,
705,40.0,2.0,No,2.0,X,
706,40.0,3.0,No,1.0,A,
707,40.0,3.0,No,2.0,A,
708,40.0,4.0,No,1.0,X,
709,40.0,5.0,No,1.0,X,
710,40.0,5.0,No,4.0,X,
711,40.0,5.0,No,3.0,X,
712,40.0,5.0,No,2.0,X,
713,40.0,6.0,No,4.0,X,
714,40.0,6.0,No,2.0,X,
715,40.0,6.0,No,3.0,X,
716,40.0,6.0,No,1.0,X,
717,40.0,6.0,No,5.0,X,
718,40.0,7.0,No,1.0,G,
719,40.0,7.0,No,2.0,G,
720,41.0,1.0,No,1.0,A,
721,41.0,1.0,No,2.0,A,
722,41.0,1.0,No,3.0,J,
723,41.0,2.0,No,3.0,I,
724,41.0,2.0,No,4.0,J,
725,41.0,2.0,No,5.0,J,
726,41.0,2.0,No,1.0,D,
727,41.0,2.0,No,2.0,A,
728,41.0,4.0,No,2.0,C,
729,41.0,4.0,No,3.0,I,
